No,Company Name,Location,Employment,Domestic Investment (RM -Million),Foreign Investment (RM-Million),Total Capital Investment(RM-Million),year,period_type,is_partial_year,source_file,source_sheet,Unnamed: 0,Obs,Name,Total Employment,Domestic Investment (RM Mil),Foreign Investment (RM Mil),Total Capital Investment (RM Mil),Country 1,%,Country 2,%.1,Ultimate Country,Product,Domestic Investment (RM),Foreign Investment (RM),Total Capital Investment (RM),Location (Activity),Activity,No (Projects),Name of Company,Local Employment,Foreign Employment,Total Investment (RM),Sector
40.0,SM Biomed Sdn. Bhd.,Sungai Petani IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
41.0,Hoe Heng Engineering Sdn. Bhd.,Mergong Barrage  IE,106.0,5.7,0.0,5.7,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
42.0,Supercomal Medical Products Sdn.Bhd.,Sungai Petani IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
43.0,Platinum Phase Sdn. Bhd.,Sungai Petani,40.0,,,4.99,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
44.0,Nextol Polymer Sdn. Bhd.,Sungai Petani,27.0,,,4.67,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
45.0,Hua Chang Timber Products Sdn. Bhd.,Bakar Arang IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
46.0,Silcotech Industry Sdn. Bhd.,Sungai Lalang (MIEL) IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
47.0,Green World Environmental Sdn Bhd,Taman Makmur IE,30.0,3.05,0.0,3.05,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
48.0,Feiti (M) Sdn. Bhd.,Bakar Arang IE,0.0,,,1.16,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
49.0,C.N.A Manufacturing Sdn. Bhd.,Gurun IE,18.0,0.0,1.11,1.11,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
50.0,Perusahaan Sindi Sdn. Bhd.,Sungai Petani,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Press Metal Engineering Sdn. Bhd.,Sungai Petani,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
52.0,SMT Technologies Sdn. Bhd.,Bakar Arang IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
53.0,SMT Technologies Sdn. Bhd.,Bakar Arang IE,,,,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
54.0,XSD International Paper Sdn. Bhd.,Padang Serai,0.0,0.0,0.0,0.0,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
,,,5176.0,3390.93,8085.95,11476.88,2019,year,False,Approved Projects Listing In Kedah For The Year 2019 (4).xlsx,Listing,,,,,,,,,,,,,,,,,,,,,,,,
,,Kulim High Tech Ind. Park,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,1.0,Risen Solar Technology Sdn. Bhd.,12733.0,385.89,65833.42,66219.31,Singapore,100,.,.,The People’s Republic of China,"Design, development and manufacturing of solar module and solar cell",,,,,,,,,,,
,,Kulim High Tech Ind. Park,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,2.0,AT & S Austria Technologies & Systemtechnik (Malaysia) Sdn.,,,,,Austria,100,.,.,Austria,IC substrates,,,,,,,,,,,
,,Kulim High Tech Ind. Park,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,3.0,Infineon Technologies (Kulim) Sdn. Bhd.,,,,,Austria,100,.,.,Germany,Wafer fabrication of wide bandgap technologies (6'and/or 8') Silicon Carbide (SiC) and Gallium Nitride (GaN) wafer,,,,,,,,,,,
,,Kulim High Tech Ind. Park,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,4.0,Menicon Malaysia Sdn. Bhd.,,,,,Japan,100,.,.,Japan,Contact lenses,,,,,,,,,,,
,,Kulim High Tech Ind. Park,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,5.0,Becquer Energy Private Limited,,,,,Singapore,100,.,.,Singapore,Solar wafers and ingots,,,,,,,,,,,
,,Kulim High Tech Ind. Park,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,6.0,Fuji Electric (Malaysia) Sdn. Bhd.,,,,,Japan,100,.,.,Japan,Wafer fabrication (8 inch),,,,,,,,,,,
,,Bakar Arang IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,7.0,Hong Seng Gloves Sdn. Bhd.,,,,,.,.,.,.,.,Nitrile disposable examination glove,,,,,,,,,,,
,,Bakar Arang IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,8.0,Payer Industries Malaysia Sdn. Bhd.,,,,,Austria,100,.,.,Austria,"Electric hair removal device, accessories and attachments (head combs and nose trimmers)",,,,,,,,,,,
,,Sungai Petani,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,9.0,Munzing Malaysia Sdn. Bhd.,,,,,Germany,100,.,.,Germany,"Rheology modifiers, defoamers, dispersing agents, wetting & levelling agents and wax",,,,,,,,,,,
,,Kulim IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,10.0,Mace Hermatic Components Sdn. Bhd.,,,,,USA,15,Germany,10,USA,"Hermetic glass-to-metal sealed headers,packages,connectors, endseals,terminal & covers",,,,,,,,,,,
,,Kuala Muda,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,11.0,Evergreenergy Resources Trading (M) Sdn. Bhd.,,,,,.,.,.,.,.,Manufacturing and trading of refined palm oils for industrial usage in Biodiesel and HVO plants,,,,,,,,,,,
,,Sungai Petani IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,12.0,Technology PP Industries (Northern) Sdn. Bhd.,,,,,The People’s Republic of China,55.71,"Hong Kong SAR, China",44.29,"Hong Kong SAR, China",Recycled plastic pellets,,,,,,,,,,,
,,Padang Meha IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,13.0,SP Mega Mineral Sdn. Bhd.,,,,,.,.,.,.,.,Zinc ingot from zinc oxide,,,,,,,,,,,
,,Sungai Petani,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,14.0,Os-Tec (M) Sdn. Bhd.,,,,,Japan,100,.,.,Japan,Die-casted parts,,,,,,,,,,,
,,Bedong,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,15.0,Jumbo Global Industries Sdn. Bhd.,,,,,.,.,.,.,.,"Fishball & fishcake,kuey teow, laksa,noodles,tempe, tofu",,,,,,,,,,,
,,Sungai Petani IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,16.0,Kiyamas Chemical Sdn. Bhd.,,,,,.,.,.,.,.,Chemicals for electronics industry and cleaning and sanitization chemical products,,,,,,,,,,,
,,Taman Makmur IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,17.0,Precise Harvest Sdn. Bhd.,,,,,.,.,.,.,.,"Plastic tank, high purity chemicals processing tank and fabricated PP products",,,,,,,,,,,
,,Kulim,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,18.0,Coraza Systems Malaysia Sdn. Bhd.,,,,,.,.,.,.,.,Fabricated metal products,,,,,,,,,,,
,,Sungai Petani,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,19.0,Solid Precision Engineering Sdn. Bhd.,,,,,.,.,.,.,.,Metal parts and components and mechanical assemblies,,,,,,,,,,,
,,Langkawi,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,20.0,MC Gemilang (Natural Water) Sdn. Bhd.,,,,,.,.,.,.,.,Mineral water,,,,,,,,,,,
,,Kuala Muda,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,21.0,Vital Heat Treatment Sdn. Bhd.,,,,,Taipei,75,.,.,Taipei,Metal heat treatment,,,,,,,,,,,
,,Kulim IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,22.0,ABH Mega Sdn. Bhd.,,,,,.,.,.,.,.,NPK organic fertilizer and foliar fertilizer,,,,,,,,,,,
,,Bakar Arang IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,23.0,Voltron Malaysia Sdn. Bhd.,,,,,.,.,.,.,.,Electric pedal assisted bicycle,,,,,,,,,,,
,,Lunas,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,24.0,CSH Green Resources Sdn. Bhd.,,,,,.,.,.,.,.,Recycled plastic resin,,,,,,,,,,,
,,Kulim High Tech Ind. Park,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,25.0,Pfeiffer Vacuum Malaysia Sdn. Bhd.,,,,,Germany,100,.,.,Germany,Remanufacturing of vacuum pumps,,,,,,,,,,,
,,Sungai Petani IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,26.0,Supercomal Advanced Cables Sdn. Bhd.,,,,,.,.,.,.,.,Tank and filler neck assembly for vehicle,,,,,,,,,,,
,,Kulim IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,27.0,Plasticycle Industries Sdn. Bhd.,,,,,.,.,.,.,.,Recycled polyethylene resin,,,,,,,,,,,
,,Jitra,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,28.0,Kencana Biotech Sdn. Bhd.,,,,,.,.,.,.,.,Food supplement and beverage premix,,,,,,,,,,,
,,Sungai Lalang (MIEL) IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,29.0,Silcotech Industry Sdn. Bhd.,,,,,.,.,.,.,.,Rubber seal,,,,,,,,,,,
,,Kulim,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,30.0,SCM Industries Malaysia Sdn. Bhd.,,,,,.,.,.,.,.,"Automotive module and components (front bumper,rear- bumper,spoiler,hydraulic unit)",,,,,,,,,,,
,,Lunas,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,31.0,Hiang Kee Industries Sdn. Bhd.,,,,,.,.,.,.,.,Vegetarian products,,,,,,,,,,,
,,Jeniang IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,32.0,Ambang Dorongan Sdn. Bhd.,,,,,.,.,.,.,.,Frozen pre-packed food,,,,,,,,,,,
,,Kulim,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,33.0,Bumimaju Industries Sdn. Bhd.,,,,,.,.,.,.,.,Recycling of plastic waste to produce recycled plastic resin and plastic products,,,,,,,,,,,
,,Kulim,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,34.0,Fosca Sdn. Bhd.,,,,,.,.,.,.,.,"Bonding machine, chip module punch machine, cutter machine, embedding machine, inlay manufacturing machine pick and place machine, potting machine and wire implanter machine",,,,,,,,,,,
,,Sungai Lalang (MIEL) IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,35.0,Silcotech Industry Sdn. Bhd.,,,,,.,.,.,.,.,Rubber sleeve and rubber seal,,,,,,,,,,,
,,Gurun IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,36.0,United Copper Industry Sdn. Bhd.,,,,,.,.,.,.,.,Copper ingots from copper granules/chips and Copper anode from copper granules/chips,,,,,,,,,,,
,,Sungai Petani IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,37.0,Laser Compo Sdn. Bhd.,,,,,.,.,.,.,.,Parts and components for furniture,,,,,,,,,,,
,,Kuala Ketil IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,38.0,Ryco Hydraulics Sdn. Bhd.,,,,,Australia,100,.,.,.,Hydraulic rubber hose with assembly parts,,,,,,,,,,,
,,Sungai Petani IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,39.0,Bioplus Industries Sdn. Bhd.,,,,,.,.,.,.,.,Calcium carbonate masterbatch and white masterbatch,,,,,,,,,,,
,,Sungai Petani IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,40.0,SM Biomed Sdn. Bhd.,,,,,India,96.67,.,.,.,Tramadol,,,,,,,,,,,
,,Bakar Arang IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,41.0,SMT Technologies Sdn. Bhd.,,,,,Others,0.3,.,.,.,LED lighting,,,,,,,,,,,
,,Lunas,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,42.0,Omnimetric Technologies Sdn. Bhd.,,,,,Singapore,100,.,.,.,"Ribbons, cartridges, film and office consumables",,,,,,,,,,,
,,Kulim IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,43.0,PPH Printing & Packaging (Kulim) Sdn. Bhd.,,,,,.,.,.,.,.,"Display boxes & gift, corrugated cartons, labels and stickers",,,,,,,,,,,
,,Kuala Ketil IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,44.0,Southern Cable Sdn. Bhd.,,,,,.,.,.,.,.,PV photovoltaic cables,,,,,,,,,,,
,,Kuala Ketil IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,45.0,Southern Cable Sdn. Bhd.,,,,,.,.,.,.,.,PV photovoltaic cables,,,,,,,,,,,
,,Kuala Ketil IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,46.0,Southern Cable Sdn. Bhd.,,,,,.,.,.,.,.,PV photovoltaic cables,,,,,,,,,,,
,,Kuala Ketil IE,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,47.0,Southern Cable Sdn. Bhd.,,,,,.,.,.,.,.,PV photovoltaic cables,,,,,,,,,,,
,,Kulim High Tech Ind. Park,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Manf Listing,,48.0,Nextglass Technologies Sdn. Bhd.,,,,,USA,49,.,.,USA,"Barrier film,conductive film, electrochromic film,Polymer Dispersed Liquid Crystal Film (PDLC)",,,,,,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,1.0,Solarpack Suria Sungai Petani Sdn. Bhd.,24.0,,,,Spain,49.0,,,,,461.36,179.31,640.67,Sungai Petani,Renewable energy (business) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,2.0,Viva Solar Sdn. Bhd.,,,,,,,,,,,,,,Sik,Renewable energy (business) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,3.0,Great Realty Sdn. Bhd.,,,,,,,,,,,,,,Alor Star,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,4.0,Puncak Seloka Sdn. Bhd.,,,,,,,,,,,,,,Sungai Petani,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,5.0,TGW Plastic Packaging Sdn. Bhd.,,,,,"Hong Kong SAR, China",49.0,,,,,,,,Sungai Petani,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,6.0,C-Mart 4 Sdn. Bhd.,,,,,,,,,,,,,,Jitra,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,7.0,Jabi Rice Mill Sdn. Bhd.,,,,,,,,,,,,,,Pokok Sena,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,8.0,Jabi Rice Mill Sdn. Bhd.,,,,,,,,,,,,,,Pokok Sena,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,9.0,Kentra Hardware Sdn. Bhd.,,,,,,,,,,,,,,Sungai Petani,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,10.0,Sin Mah Engineering Sdn. Bhd.,,,,,,,,,,,,,,Alor Star,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,11.0,The Laryngeal Mask Company (M) Sdn. Bhd.,,,,,Netherlands,100.0,,,,,,,,Kulim High Tech Ind. Park,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,12.0,Southern Cable Sdn. Bhd.,,,,,,,,,,,,,,Kuala Ketil,Renewable energy (own consumption/use) using solar,,,,,,
,,,,,,,2021,year,False,Project Listing In Kedah 2021 (4).xlsx,Services Listing,,13.0,OEL Distribution (Kedah) Sdn. Bhd.,,,,,,,,,,,,,,Alor Star,Renewable energy (own consumption/use) using solar,,,,,,
